Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names
Bacteroides cellulosilyticus WH2 (new assembly)	#28108	Literature-derived PUL 18	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS	#28220	Pred 17 
Bacteroides fragilis 638R	#3775	Literature-derived PUL 1	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS	#3781	Pred 3 
Bacteroides ovatus ATCC 8483	#282	Literature-derived PUL 49	GH2 CE12|CE12 HTCS unk unk unk unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 unk GH95 GH2 GH105 PL11_1	#397	Pred 49 
Bacteroides ovatus ATCC 8483 (new assembly)	#28541	Literature-derived PUL 49	GH2 CE12|CE12 HTCS unk GH106 unk unk PL11_1 SusD SusC unk unk SusD SusC unk GH2 GH88 GH154 Est GH28 GH95 GH2 GH105 PL11_1	#28661	Pred 56 
Bacteroides thetaiotaomicron 7330 (new assembly)	#28382	Literature-derived PUL 76	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127	#28469	Pred 72 
Bacteroides thetaiotaomicron VPI-5482	#27870	Literature-derived PUL 42	GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 unk unk SusD SusC GH105 GH2 HTCS	#27963	Pred 39 
Bacteroides thetaiotaomicron VPI-5482	#27893	Literature-derived PUL 65	GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105	#27987	Pred 63 
Phocaeicola plebeius DSM 17135	#3605	Literature-derived PUL 1	unk unk unk GH16_16 GH117 GH2 GH2 unk unk unk MFS unk unk unk unk unk GH50 GH105|GH154 unk unk unk unk GH16_12 unk unk unk GH86 GH86 unk unk SusD SusC HTCS unk Sulf_1 GH29 GH16_14 SusD SusC GH2	#3621, #3651	Pred 16 , CAZy 3 
Abyssalbus ytuae MT3330	#60588	Predicted PUL 26	GH154 PL42 GH88 HTCS SusC SusD GH105 GH43 GH16_3 GH154		
Aestuariibaculum sp. YM273	#75792	Predicted PUL 2	unk unk GH154 GH2 unk GH43_17 GH27|CBM51 GH43_29 GH43_19 GH43_19|GH43_34 GH16_10 unk unk SusD SusC GH2 GH88 PL42 HTCS GH30_4		
Alistipes senegalensis JC50	#63810	Predicted PUL 50	GH88 SusC SusD SusC SusD unk unk unk PL38 Sulf_1 unk GH154		
Aquipluma nitroreducens MeG22	#40891	Predicted PUL 7	unk unk SusD SusC unk GH154 unk		
Arachidicoccus soli KIS59-12	#34010	Predicted PUL 26	GH2 GH27 GH35 GH51_1 GH43_24 PL42 GH16 unk SusD SusC SusD SusC GH154 GH2 HTCS		
Arachidicoccus sp. BS20	#23515	Predicted PUL 37	HTCS GH43_17 SusC SusD GH16_3 GH154 GH43_24 GH51_1 GH2 GH35		
Arcticibacter pallidicorallinus CGMCC 1.9313	#32270	Predicted PUL 44	SusC SusD unk GH51_1 GH51_2 GH43_5 GH97 PL42 GH154 GH43_34|GH105		
Bacteroides caccae ATCC 43185	#467	Predicted PUL 1	HTCS unk SusC SusD unk unk GH2 GH105 SusC SusD GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 GH182		
Bacteroides caccae ATCC 43185	#481	Predicted PUL 15	GH154 GH88 unk GH95 HTCS GH29 unk unk SusD SusC SusD SusC unk GH29		
Bacteroides caccae ATCC 43185	#487	Predicted PUL 21	GH154 GH88 SusC SusD Pept_MA Pept_MA PL35 GH109 HTCS		
Bacteroides caccae ATCC 43185	#497	Predicted PUL 31	unk SusD SusC unk GH154 GH154 GH88 HTCS		
Bacteroides caccae ATCC 43185	#518	Predicted PUL 52	GH35|CBM32 GH43_19 GH51_2 GH97 GH43_34 HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides caccae ATCC 43185 (new assembly)	#29619	Predicted PUL 15	GH182 GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 SusD SusC GH105 GH2 unk unk SusD SusC HTCS		
Bacteroides caccae ATCC 43185 (new assembly)	#29623	Predicted PUL 19	GH154 GH88 GH95 HTCS GH29 unk unk SusD SusC SusD SusC unk GH29		
Bacteroides caccae ATCC 43185 (new assembly)	#29629	Predicted PUL 25	GH154 GH88 SusC SusD Pept_MA Pept_MA PL35 GH109 HTCS		
Bacteroides caccae ATCC 43185 (new assembly)	#29634	Predicted PUL 30	GH35|CBM32 GH43_19 GH51_2 GH97 GH43_34 HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides caccae ATCC 43185 (new assembly)	#29642	Predicted PUL 38	unk SusD SusC unk GH154 GH88 HTCS		
Bacteroides caccae BFG-100	#56430	Predicted PUL 7	unk SusD SusC unk GH154 GH88 HTCS		
Bacteroides caccae BFG-100	#56456	Predicted PUL 33	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 CBM32 SusD SusC SusD SusC HTCS GH43_34		
Bacteroides caccae BFG-100	#56464	Predicted PUL 41	HTCS GH109 PL35 Pept_MA Pept_MA SusD SusC GH88 GH154		
Bacteroides caccae BFG-100	#56471	Predicted PUL 48	GH154 GH88 GH95 HTCS GH29 PL unk SusD SusC SusD SusC unk GH29		
Bacteroides caccae BFG-100	#56475	Predicted PUL 52	HTCS SusC SusD unk unk GH2 GH105 SusC SusD GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 GH182		
Bacteroides caccae BFG-101	#65037	Predicted PUL 7	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 unk unk SusD SusC SusD SusC HTCS GH43_34		
Bacteroides caccae BFG-101	#65045	Predicted PUL 15	SusD SusC GH88 GH154		
Bacteroides caccae BFG-101	#65051	Predicted PUL 21	GH29 unk SusC unk SusD SusC SusD unk PL GH29 HTCS GH95 GH88 GH154		
Bacteroides caccae BFG-101	#65056	Predicted PUL 26	SusC SusD unk unk GH2 GH105 GH105 SusC SusD GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 GH182		
Bacteroides caccae BFG-101	#65071	Predicted PUL 41	unk SusD SusC unk GH154 GH88 HTCS		
Bacteroides caccae BFG-104	#66166	Predicted PUL 7	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 unk unk SusD SusC SusD SusC HTCS GH43_34		
Bacteroides caccae BFG-104	#66173	Predicted PUL 14	SusD SusC GH88 GH154		
Bacteroides caccae BFG-104	#66179	Predicted PUL 20	GH29 unk SusC SusD SusC SusD unk PL GH29 HTCS unk GH88 GH154		
